name,date,location,start,end,host,linkname,link
Ace Attorney,5-Jul,Site #5,6:00 PM,7:00 PM,Ryu_Cosplay1 AND Slimmothy,Discord,https://discord.gg/mEzQEnkZ6B#
Sega Games,5-Jul,Site #6,6:00 PM,7:00 PM,@that_one_junpei_cosplay_guy,Facebook,https://facebook.com/events/s/sega-gathering-anime-expo/1166935798467324/?mibextid=Gg3lNB#
Delicious in Dungeon,5-Jul,Site #7,6:00 PM,7:00 PM,Rin & Pau,Discord,https://discord.gg/2qaMGVWwst#
Tokusatsu,5-Jul,Site #2,7:00 PM,8:00 PM,Tara Benedek,Facebook,https://www.facebook.com/share/1BvzPHKJjE/#
(K-Pop) Demon Hunters,5-Jul,Site #3,7:00 PM,8:00 PM,GoryGhostieGuts,Discord,https://discord.gg/WvgTMdRTWv#
Link Click,5-Jul,Site #4,7:00 PM,8:00 PM,Gabby Lynch,Instagram,https://www.instagram.com/axlinkclickcosplaygathering/#
Persona,5-Jul,Site #5,7:00 PM,8:00 PM,Persona Cosplayers,Discord,https://discord.gg/XNdXaMASt7#
Legend of Zelda,5-Jul,Site #6,7:00 PM,8:00 PM,SASSY,Discord,https://discord.gg/jXVS2b8rVf#
The Case Study of Vanitas,6-Jul,Site #1,10:00 AM,11:00 AM,Kalel,Discord,https://discord.gg/GJRUUn8Ug5#
IDOLiSH7,6-Jul,Site #5,10:00 AM,11:00 AM,Professor Fries,Discord,https://discord.gg/cHa6K6GsYn#
Princess Connect! Re:Dive,6-Jul,Site #6,10:00 AM,11:00 AM,Drago,Discord,https://discord.gg/Uchp6eZnBY#
Winx Club,6-Jul,Site #1,11:00 AM,12:00 PM,Teemo,Discord,https://discord.gg/WesTFHVkQx#
Promare,6-Jul,Site #1,12:00 PM,1:00 PM,mybestissunshine,Discord,https://discord.gg/Hy54zzryZF#
Toilet Bound Hanako-Kun,6-Jul,Site #3,12:00 PM,1:00 PM,Cinnabombzz (Alex),Discord,https://discord.gg/3tPDZBVFsp#
Homestuck,6-Jul,Site #4,11:00 AM,12:00 PM,@spookymonsterscosplay,Discord,https://discord.gg/qjfP3kbVjh#
Digimon,6-Jul,Site #5,11:00 AM,12:00 PM,Fandomania Events,Instagram,https://www.instagram.com/fandomaniaevents/#
Milgram,6-Jul,Site #6,11:00 AM,12:00 PM,Roxas,Discord,https://discord.gg/sNJuSUYKEt#
Saint Seiya: Knights of the Zodiac,6-Jul,Site #7,11:00 AM,12:00 PM,Jazzy.chan,Discord,https://discord.gg/kgPRaHwe#
Gintama,6-Jul,Site #3,12:00 PM,1:00 PM,LAcie,Discord,https://discord.gg/pD6RTuzt?event=1369150205081161808#
Genshin Impact 2: Electric Boogaloo,6-Jul,Site #4,12:00 PM,1:00 PM,Teemo,Discord,https://discord.gg/bP74skNF5r#
Tokyo Revengers,6-Jul,Site #5,12:00 PM,1:00 PM,_sorryimkaitlyn,Instagram,https://www.instagram.com/_sorryimkaitlyn/profilecard/?igsh=NTc4MTIwNjQ2YQ==#
Land of the Lustrous,6-Jul,Site #6,12:00 PM,1:00 PM,amurder_ofcrows_,Discord,https://discord.gg/HZqHHeFawh#
Touhou Project,6-Jul,Site #7,12:00 PM,1:00 PM,ShouAkemi,Facebook,https://www.facebook.com/events/1800098967239511/?acontext=%7B%22event_action_history%22%3A%5b%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%5d%2C%22ref_notif_type%22%3Anull%7D&onload_action=open_invite_flow&show_created_event_toast=true#
Mystic Messenger,6-Jul,Site #1,1:00 PM,2:00 PM,Robin,Discord,https://discord.gg/GBB3q29QRu#
Final Fantasy 7,6-Jul,Site #2,1:00 PM,2:00 PM,sei,Discord,https://discord.gg/DHy8qTA3Dh#
Hunter x Hunter,6-Jul,Site #3,1:00 PM,2:00 PM,Bottledcos,Discord,https://discord.gg/zpmUXtrYxr#
Konosuba,6-Jul,Site #4,1:00 PM,2:00 PM,Konosuba,Facebook,https://facebook.com/events/s/konosuba-cosplay-gathering/587966604313729/#
Fear and Hunger,6-Jul,Site #5,1:00 PM,2:00 PM,Alex V,Discord,https://discord.gg/VmVG9tExmf#
Gravity Falls,6-Jul,Site #6,1:00 PM,2:00 PM,Gravity Falls Gatherings,Discord,https://discord.gg/uuKj3A4dzR#
Honkai Star Rail,6-Jul,Site #7,1:00 PM,2:00 PM,Andrew,Discord,https://discord.gg/fN24XfJVWv#
18trip!,6-Jul,Site #1,2:00 PM,3:00 PM,18TRIP SLEEVES,Instagram,https://www.instagram.com/18trip_sleeves?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Love Live!,6-Jul,Site #2,2:00 PM,3:00 PM,Tsu,Instagram,https://instagram.com/tsuketoguu#
To Be Hero X,6-Jul,Site #3,2:00 PM,3:00 PM,Ray (@raylinkcoser),Instagram,https://www.instagram.com/raylinkcoser?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Team Fortress 2,6-Jul,Site #4,2:00 PM,3:00 PM,TF2 Brigade,Discord,https://discord.gg/gtS4zFFmFF#
Blue Lock,6-Jul,Site #5,2:00 PM,3:00 PM,Mikko,Discord,https://discord.gg/7Bx4xjK45P#
Splatoon,6-Jul,Site #6,2:00 PM,3:00 PM,Sol/Wizard,X (Formerly Twitter),https://x.com/splatoonax2023?s=21&t=NvbaVK5LLfQ3etBs2hC9bQ#
Helldivers,6-Jul,Site #7,2:00 PM,3:00 PM,Corvo Cosplay,Instagram,https://www.instagram.com/corvo_cosplay?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Chiikawa,6-Jul,Site #1,3:00 PM,4:00 PM,kellyplushie,Discord,https://discord.gg/3yQkMB3BJC#
Solo Leveling,6-Jul,Site #2,3:00 PM,4:00 PM,Azianna,Discord,https://discord.gg/2vkFuP64#
Hermitcraft/Life Series,6-Jul,Site #3,3:00 PM,4:00 PM,Valentine (@sunnycatalyst),Discord,https://discord.gg/YwYgx9c75w#
Square Enix,6-Jul,Site #4,3:00 PM,4:00 PM,@that_one_junpei_cosplay_guy,Facebook,https://facebook.com/events/s/square-enix-gathering-anime-ex/1708198710099951/?mibextid=Gg3lNB#
Discord,6-Jul,Site #5,3:00 PM,4:00 PM,raedollcos,Discord,https://discord.gg/53GdeaqAgn#
Nu:Carnival,6-Jul,Site #6,3:00 PM,4:00 PM,Oliver,Discord,https://discord.gg/zFvuGx6m7H#
Zenless Zone Zero,6-Jul,Site #7,3:00 PM,4:00 PM,Roxas,Instagram,https://www.instagram.com/roxas_no.xiii?igsh=MzRlODBiNWFlZA==#
